price_date,source_platform,category_normalized,avg_price,median_price,min_price,max_price,obs_count
2026-03-30 10:27:13.604803+00:00,jumia,smartphones,330.99,330.99,330.99,330.99,2
2026-03-30 10:27:13.606799+00:00,jumia,smartphones,1650.0,1650.0,1650.0,1650.0,1
2026-03-30 10:27:13.608355+00:00,jumia,smartphones,149.0,149.0,149.0,149.0,2
2026-03-30 10:27:13.609529+00:00,jumia,smartphones,69.0,69.0,69.0,69.0,2
2026-03-30 10:27:13.610608+00:00,jumia,smartphones,149.0,149.0,149.0,149.0,2
2026-03-30 10:27:15.637116+00:00,jumia,laptops,10999.0,10999.0,10999.0,10999.0,2
2026-03-30 10:27:15.639150+00:00,jumia,laptops,5899.0,5899.0,5899.0,5899.0,2
2026-03-30 10:27:15.641574+00:00,jumia,laptops,399.0,399.0,399.0,399.0,2
2026-03-30 10:27:15.643599+00:00,jumia,laptops,2813.0,2813.0,2813.0,2813.0,2
2026-03-30 10:27:15.645463+00:00,jumia,laptops,739.0,739.0,739.0,739.0,2
2026-03-30 10:27:15.646511+00:00,jumia,laptops,1099.0,1099.0,1099.0,1099.0,2
2026-03-30 10:27:15.647931+00:00,jumia,laptops,399.0,399.0,399.0,399.0,2
2026-03-30 10:27:15.650017+00:00,jumia,laptops,1989.0,1989.0,1989.0,1989.0,2
2026-03-30 10:27:15.652156+00:00,jumia,laptops,1095.0,1095.0,1095.0,1095.0,2
2026-03-30 10:27:15.653268+00:00,jumia,laptops,873.0,873.0,873.0,873.0,2
2026-03-30 10:27:15.654300+00:00,jumia,laptops,1843.0,1843.0,1843.0,1843.0,2
2026-03-30 10:27:15.655399+00:00,jumia,laptops,349.0,349.0,349.0,349.0,2
2026-03-30 10:27:15.657505+00:00,jumia,laptops,1901.0,1901.0,1901.0,1901.0,2
2026-03-30 10:27:15.658461+00:00,jumia,laptops,649.0,649.0,649.0,649.0,2
2026-03-30 10:27:15.660447+00:00,jumia,laptops,2813.0,2813.0,2813.0,2813.0,1
2026-03-30 10:27:15.661981+00:00,jumia,laptops,1843.0,1843.0,1843.0,1843.0,2
2026-03-30 10:27:15.664096+00:00,jumia,laptops,399.0,399.0,399.0,399.0,1
2026-03-30 10:27:15.666260+00:00,jumia,laptops,1552.0,1552.0,1552.0,1552.0,2
2026-03-30 10:27:15.667356+00:00,jumia,laptops,349.0,349.0,349.0,349.0,1
2026-03-30 10:27:15.668431+00:00,jumia,laptops,1250.0,1250.0,1250.0,1250.0,2
2026-03-30 10:27:15.670628+00:00,jumia,laptops,2300.0,2300.0,2300.0,2300.0,2
2026-03-30 10:27:15.672410+00:00,jumia,laptops,499.0,499.0,499.0,499.0,2
