name,price,category,source,url,scraped_at,source_label
PC Portable Pro 7 16IAX10H U9- 64 Go- 2 To SSD -W11H,53588.29,laptops,jumia,,2026-06-12T13:51:50.212745,
"MacBook Air 13 2015 - 13.3"" - Intel Core i5 - 4GB RAM + 128GB SSD - Windows - Remis à neuf",1948.46,laptops,jumia,,2026-06-12T13:51:56.457110,
"Kimono En Mousseline À Col V Pour Femme, Coupe Classique - B5174AX",68.41,vetements,jumia,,2026-06-12T13:52:06.468838,
"Pc Portable HP EliteBook 830 G7 I5-10310U 10ème Génération RAM 16Go DDR4 256Gb SSD Ecran 13.3""Tactil",3467.05,laptops,jumia,,2026-06-12T13:52:06.836595,
"3 Pc Support de Coque de Téléphone à Ventouse en Silicone, pour iPhone et Android",78.87,smartphones,jumia,,2026-06-12T13:52:21.395429,
"D96 Plus Ultra Smartwatch Bundle – Montre Connectée Bluetooth avec Suivi Santé, Écouteurs Sans Fil S",226.94,smartphones,jumia,,2026-06-12T13:52:34.570664,
ZTE nubia RedMagic 11 Air 512Go 16Go RAM – Prix,8180.58,smartphones,micromagma,,2026-06-12T13:52:44.004873,
Robe De Soirée BLEU MARINE – Femmes,175.13,vetements,jumia,,2026-06-12T13:52:47.310818,
Power Bank 10000 mAh Cable V8 Intégré 12m IPP-53 - Noir,117.37,smartphones,jumia,,2026-06-12T13:53:23.462952,
Robe Imprimée À Bretelles Biocouleur Noire - R4520E25,101.1,vetements,jumia,,2026-06-12T13:53:40.732145,
Top Pour Femmes Polyester - Écru,97.3,vetements,jumia,,2026-06-12T13:53:43.192114,
Chargeur Rapide 20W USB-C Recharge Ultra Efficace pour Smartphone et Tablette,142.65,smartphones,jumia,,2026-06-12T13:53:50.574345,
P2217H Écran Professionnel 21.5” Full HD - IPS - HDMI / VGA / DisplayPort,621.52,laptops,jumia,,2026-06-12T13:53:56.578565,
"43 Smart tv Full HD Système WhaleOS avec Dolby Audio, Récepteur Intégré, TNT HD",2108.44,tv,jumia,,2026-06-12T13:54:05.196617,
"50 QLED 4K UHD Smart Google Tv, Dolby Vision HDR10+, Slim & Uni-body + Support Gratuit, 50P7K",4180.19,tv,jumia,,2026-06-12T13:54:15.934129,
Smartwatch Smart Watch FitPro Y68 Montre connectée avec écran tactile,90.46,smartphones,jumia,,2026-06-12T13:54:40.051940,
"Téléviseur 43"" Smart UHD (HTV43S)",2263.62,tv,jumia,,2026-06-12T13:54:45.883505,
Veste Bomber À Col Polo Pour Femme - B8601AX,299.95,vetements,jumia,,2026-06-12T13:54:48.063112,
"Macbook air 2020-Retina 13,3"" -INTEL i3 -RAM 8Go-SSD 256Go-Batterie10h -remis a neuf/",4708.7,laptops,jumia,,2026-06-12T13:54:50.244485,
"Veste Bomber Basique À Fermeture Éclair Et Col Universitaire Pour Femme, Coupe Classique - E3952AX",126.64,vetements,jumia,,2026-06-12T13:54:50.583174,
Câble de Chargement USB pour Garmin Fenix s 6 5 plus 5x vivoactive 3 watch ..,87.13,smartphones,jumia,,2026-06-12T13:54:59.293957,
